A1_A2,2010,2015,2020
81,0.0,300.0,0.0
82,0.0,300.0,0.0
83,0.0,300.0,0.0
84,0.0,251.356,0.0
85,0.0,300.0,0.0
86,0.0,300.0,0.0
87,0.0,300.0,198.303
88,0.0,300.0,229.926
89,0.0,300.0,255.128
90,0.0,300.0,5.408
91,0.0,300.0,0.0
92,0.0,300.0,0.0
93,0.0,300.0,38.859
94,0.0,300.0,46.166
95,0.0,300.0,0.0
96,0.0,300.0,173.508
97,0.0,300.0,51.815
98,0.0,300.0,0.0
99,0.0,300.0,0.0
100,0.0,300.0,122.446
101,0.0,300.0,0.0
102,0.0,290.498,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,109.352
114,0.0,0.0,142.806
115,0.0,0.0,186.602
116,0.0,0.0,64.758
117,0.0,0.0,0.0
118,0.0,0.0,68.361
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,300.0,68.075
122,0.0,300.0,300.0
123,0.0,300.0,300.0
124,7.299,300.0,300.0
125,25.643,300.0,300.0
126,0.269,300.0,300.0
127,0.0,300.0,141.117
128,0.0,300.0,33.398
129,0.0,300.0,0.0
130,0.0,300.0,0.0
131,0.0,284.835,0.0
132,0.0,174.71,0.0
133,0.0,300.0,0.0
134,0.0,300.0,0.0
135,0.0,300.0,0.0
136,0.0,300.0,0.0
137,0.0,300.0,38.746
138,0.0,300.0,0.0
139,0.0,300.0,0.0
140,0.0,300.0,0.0
141,0.0,300.0,0.0
142,0.0,300.0,0.0
143,0.0,300.0,20.865
144,0.0,300.0,78.258
145,0.0,220.298,0.0
146,0.0,300.0,0.0
147,0.0,300.0,0.0
148,0.0,300.0,0.0
149,0.0,300.0,0.0
150,0.0,0.0,191.62
151,0.0,50.156,59.557
152,0.0,0.0,109.296
153,0.0,0.0,300.0
154,0.0,0.0,240.552
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,123.996
160,0.0,0.0,128.477
161,0.0,0.0,242.334
162,0.0,0.0,300.0
163,0.0,0.0,151.13
164,0.0,0.0,300.0
165,0.0,75.85,253.817
166,0.0,72.206,116.789
167,0.0,73.807,239.7
168,0.0,83.173,25.601
169,0.0,300.0,0.0
170,0.0,300.0,0.0
171,0.0,300.0,219.755
172,0.0,300.0,300.0
173,0.0,300.0,300.0
174,0.0,300.0,215.475
175,0.0,300.0,0.0
176,0.0,300.0,0.0
177,0.0,16.117,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,1.684,0.0
182,0.0,300.0,0.0
183,0.0,300.0,0.0
184,0.0,300.0,0.0
185,0.0,300.0,19.817
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,0.0,237.169,74.654
190,0.0,300.0,0.0
191,0.0,300.0,0.0
192,0.0,300.0,0.0
B1_A2,2010,2015,2020
1,300.0,0.0,0.0
2,300.0,0.0,0.0
3,300.0,0.0,0.0
4,300.0,0.0,0.0
5,300.0,0.0,0.0
6,300.0,0.0,0.0
7,155.905,155.337,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,50.454,0.0,0.0
11,103.868,301.576,0.0
12,109.406,397.575,0.0
13,214.37,0.0,0.0
14,120.706,0.0,0.0
15,0.0,0.0,0.0
16,24.814,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,160.322,0.0,0.0
23,161.842,0.0,0.0
24,62.046,0.0,0.0
25,300.0,0.0,0.0
26,300.0,57.074,35.548
27,300.0,0.442,170.042
28,300.0,0.0,0.0
29,300.0,0.0,0.0
30,300.0,0.0,100.826
31,300.0,10.56,208.194
32,300.0,0.0,0.0
33,300.0,0.0,63.981
34,300.0,0.0,0.0
35,300.0,0.0,0.0
36,300.0,0.0,0.0
37,300.0,46.35,0.0
38,300.0,43.907,0.0
39,300.0,0.0,0.0
40,300.0,0.0,0.0
41,300.0,0.0,0.0
42,48.884,0.0,0.0
43,49.211,0.0,0.0
44,165.698,0.0,0.0
45,300.0,0.0,0.0
46,300.0,0.0,0.0
47,300.0,0.0,0.0
